"RequestID","Day","SupplyingLogNode","DeliveredAmount","Distance","FuelAmountExpended","SortieDurationPer","FuelTypeExpended","OriginatingUnit","SupplyType"
-1079,19,"ANDONG SUPPLY DEPOT",204000,65.4168154167723,2965.56229889368,0.475758657576525,"FUEL","OBJ BLUE SUPPLY POINT","DRY_BULK"
-542,0,NA,350000,0,0,0,NA,"ALLIED DIV INF","FUEL"
-542,0,"ANDONG SUPPLY DEPOT",123800,29.6091261956318,384.918640543213,2.45067885142333,"FUEL","ALLIED DIV INF","FUEL"
-543,0,"ANDONG SUPPLY DEPOT",130000,25.6015697270287,332.820406451374,1.35654109924847,"FUEL","US BDE MECH","FUEL"
-543,0,"ANDONG SUPPLY DEPOT",132500,25.6015697270287,358.421976178402,1.49778786277885,"FUEL","US BDE MECH","FUEL"
-543,0,NA,5e+05,0,0,0,NA,"US BDE MECH","FUEL"
-544,0,"ANDONG SUPPLY DEPOT",165000,28.4229788180023,511.613618724042,1.79902460464146,"FUEL","ALLIED BDE MECH","FUEL"
-544,0,NA,750000,0,0,0,NA,"ALLIED BDE MECH","FUEL"
-545,0,NA,175000,0,0,0,NA,"US BDE STRYKER","FUEL"
-545,0,"ANDONG SUPPLY DEPOT",14720,21.7092983418355,43.418596683671,1.71171944285769,"FUEL","US BDE STRYKER","FUEL"
-546,0,NA,125000,0,0,0,NA,"US BDE MECH","DRY_BULK"
-546,0,"ANDONG SUPPLY DEPOT",11000,25.6015697270287,51.2031394540575,1.49778786277885,"FUEL","US BDE MECH","DRY_BULK"
-547,0,"ANDONG SUPPLY DEPOT",38200,28.4229788180023,227.383830544018,1.79902460464146,"FUEL","ALLIED BDE MECH","DRY_BULK"
-547,0,NA,125000,0,0,0,NA,"ALLIED BDE MECH","DRY_BULK"
-548,0,"ANDONG SUPPLY DEPOT",82400,29.6091261956318,473.746019130109,2.50170222823732,"FUEL","ALLIED DIV INF","DRY_BULK"
-548,0,NA,90000,0,0,0,NA,"ALLIED DIV INF","DRY_BULK"
-549,0,"ANDONG SUPPLY DEPOT",4040,21.7092983418355,43.418596683671,1.71171944285769,"FUEL","US BDE STRYKER","DRY_BULK"
-549,0,NA,1e+05,0,0,0,NA,"US BDE STRYKER","DRY_BULK"
-550,0,"ANDONG SUPPLY DEPOT",25000,25.6015697270287,102.406278908115,1.49778786277885,"FUEL","US BDE MECH","WATER"
-550,0,NA,1e+05,0,0,0,NA,"US BDE MECH","WATER"
-551,0,NA,244800,0,0,0,NA,"ALLIED DIV INF","WATER"
-552,0,NA,125000,0,0,0,NA,"ALLIED BDE MECH","WATER"
-552,0,"ANDONG SUPPLY DEPOT",25000,28.4229788180023,113.691915272009,1.79902460464146,"FUEL","ALLIED BDE MECH","WATER"
-553,0,NA,99258.75,0,0,0,NA,"US BDE STRYKER","WATER"
-554,0,NA,1e+07,0,0,0,NA,"ANDONG SUPPLY DEPOT","WATER"
-555,0,NA,8e+06,0,0,0,NA,"ANDONG SUPPLY DEPOT","DRY_BULK"
-556,0,NA,2.4e+07,0,0,0,NA,"ANDONG SUPPLY DEPOT","FUEL"
-557,0,NA,1100000,0,0,0,NA,"SEA BASE","WATER"
-558,0,NA,1e+06,0,0,0,NA,"SEA BASE","DRY_BULK"
-559,0,NA,2e+06,0,0,0,NA,"SEA BASE","FUEL"
-560,0,NA,5200,0,0,0,NA,"ALLIED DIV INF","WATER"
-561,0,NA,741.25,0,0,0,NA,"US BDE STRYKER","WATER"
-562,1,"ANDONG SUPPLY DEPOT",25000,29.6141633472924,118.45665338917,1.91814305757047,"FUEL","US BDE MECH","FUEL"
-562,1,"ANDONG SUPPLY DEPOT",280000,29.6141633472924,829.196573724188,1.77983411446552,"FUEL","US BDE MECH","FUEL"
-563,1,"ANDONG SUPPLY DEPOT",305000,34.5156496856348,1173.53208931158,1.98721987705601,"FUEL","ALLIED BDE MECH","FUEL"
-564,1,"ANDONG SUPPLY DEPOT",236900,34.637705301811,900.580337847085,2.2018698112933,"FUEL","ALLIED DIV INF","FUEL"
-565,1,"ANDONG SUPPLY DEPOT",84320,22.8025020198455,228.025020198455,1.82103981065868,"FUEL","US BDE STRYKER","FUEL"
