Day,UnitName,TransportType,QuantityTransport,PoolAvailability,PoolUsage,Utilization,UtilizationSlack
9,"SEA BASE","LCAC",12,50.4,17.9175347943274,0.355506642744592,0.644493357255408
9,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
9,"BSA SUPPLY POINT","Mtruck",10,100,99.6222847184556,0.996222847184556,0.00377715281544366
9,"BSA SUPPLY POINT","Htruck",2,20,19.3055356462857,0.965276782314284,0.034723217685716
9,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0,0,1
9,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.9031305736121,0.999031305736121,0.000968694263879355
9,"OBJ BLUE SUPPLY POINT","Htruck",20,200,119.446532163695,0.597232660818475,0.402767339181525
10,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
10,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
10,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
10,"SEA BASE","CH-53K",8,33.6,0,0,1
10,"SEA BASE","LCAC",12,50.4,5.97251159810914,0.118502214248197,0.881497785751803
10,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
10,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
10,"BSA SUPPLY POINT","Htruck",2,20,18.8676240074645,0.943381200373223,0.0566187996267772
10,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0,0,1
10,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.4955150241783,0.994955150241783,0.00504484975821673
10,"OBJ BLUE SUPPLY POINT","Htruck",20,200,139.219602928883,0.696098014644413,0.303901985355587
11,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
11,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
11,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
11,"SEA BASE","CH-53K",8,33.6,0,0,1
11,"SEA BASE","LCAC",12,50.4,46.2869648853458,0.918392160423528,0.0816078395764717
11,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
11,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
11,"BSA SUPPLY POINT","Htruck",2,20,17.7976828494261,0.889884142471306,0.110115857528694
11,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0,0,1
11,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,98.3151360882511,0.983151360882511,0.0168486391174887
11,"OBJ BLUE SUPPLY POINT","Htruck",20,200,161.005168068435,0.805025840342174,0.194974159657826
12,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
12,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
12,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
12,"SEA BASE","CH-53K",8,33.6,0,0,1
12,"SEA BASE","LCAC",12,50.4,46.2869648853458,0.918392160423528,0.0816078395764717
12,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
12,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
12,"BSA SUPPLY POINT","Htruck",2,20,12.9164289225498,0.645821446127488,0.354178553872512
12,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,0.314306675183611,0.0374174613313822,0.962582538668618
12,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.742060944892,0.99742060944892,0.00257939055108025
12,"OBJ BLUE SUPPLY POINT","Htruck",20,200,197.749327046013,0.988746635230065,0.0112533647699348
13,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
13,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
13,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
13,"SEA BASE","CH-53K",8,33.6,0,0,1
13,"SEA BASE","LCAC",12,50.4,16.4244068948001,0.325881089182542,0.674118910817458
13,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
13,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
13,"BSA SUPPLY POINT","Htruck",2,20,10.4758019591116,0.52379009795558,0.47620990204442
13,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,8.33889067250361,0.992725080059953,0.00727491994004659
13,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,97.3021180699926,0.973021180699926,0.0269788193000737
13,"OBJ BLUE SUPPLY POINT","Htruck",20,200,198.459192636753,0.992295963183767,0.00770403681623277
14,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
14,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
14,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
14,"SEA BASE","CH-53K",8,33.6,0,0,1
14,"SEA BASE","LCAC",12,50.4,5.97251159810914,0.118502214248197,0.881497785751803
14,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
14,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
14,"BSA SUPPLY POINT","Htruck",2,20,10.4758019591116,0.52379009795558,0.47620990204442
14,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,8.23932923516471,0.980872527995799,0.019127472004201
14,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,99.0822685984806,0.990822685984806,0.00917731401519362
14,"OBJ BLUE SUPPLY POINT","Htruck",20,200,198.718374413842,0.99359187206921,0.00640812793079049
15,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
15,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
15,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
15,"SEA BASE","CH-53K",8,33.6,0,0,1
15,"SEA BASE","LCAC",12,50.4,0,0,1
15,"BSA SUPPLY POINT","Ltruck",10,120,0,0,1
15,"BSA SUPPLY POINT","Mtruck",10,100,99.6708927248034,0.996708927248034,0.00329107275196561
15,"BSA SUPPLY POINT","Htruck",2,20,10.4758019591116,0.52379009795558,0.47620990204442
15,"OBJ BLUE SUPPLY POINT","CH-53K",2,8.4,8.35773285584852,0.994968197124824,0.00503180287517646
15,"OBJ BLUE SUPPLY POINT","Mtruck",10,100,98.4156022624057,0.984156022624057,0.0158439773759435
15,"OBJ BLUE SUPPLY POINT","Htruck",20,200,199.756771986898,0.998783859934492,0.0012161400655083
16,"ANDONG SUPPLY DEPOT","CH-53K",2,8.4,8.08789717880093,0.962844902238206,0.0371550977617937
16,"ANDONG SUPPLY DEPOT","Htruck",25,250,249.895620988934,0.999582483955734,0.000417516044265653
16,"ANDONG SUPPLY DEPOT","Mtruck",2,20,17.9499419759709,0.897497098798544,0.102502901201456
16,"SEA BASE","CH-53K",8,33.6,0,0,1
16,"SEA BASE","LCAC",12,50.4,0,0,1
