ArcID,Day,IsOpen,TrafficLimit,TrafficFlowed,TrafficSlack,Utilization,RiskScore
"Yeongchon south",1,True,Infinity,0,Infinity,,0
"55-ab",2,True,Infinity,0,Infinity,,0
"55-bc",2,True,Infinity,692800,Infinity,,0
"55-cd",2,True,Infinity,692800,Infinity,,0
"55-de",2,True,Infinity,692800,Infinity,,0
"55-ef",2,True,Infinity,0,Infinity,,0
"55fg",2,True,Infinity,0,Infinity,,0
"55-gh",2,True,Infinity,0,Infinity,,0
"55-hj",2,True,Infinity,0,Infinity,,0
"55-jk",2,True,Infinity,0,Infinity,,0
"55-kl",2,True,Infinity,0,Infinity,,0
"55-lm",2,True,Infinity,0,Infinity,,0
"55 west of Daegu",2,True,Infinity,0,Infinity,,0
"55 east of Daegu",2,True,Infinity,0,Infinity,,0
"55-no",2,True,325000,0,325000,0,0
"55-op",2,True,Infinity,0,Infinity,,0
"55-pq",2,True,Infinity,0,Infinity,,0
"55-qr",2,True,Infinity,0,Infinity,,0
"55-rs",2,True,Infinity,0,Infinity,,0
"55-st",2,True,Infinity,0,Infinity,,0
"55-tu",2,True,Infinity,0,Infinity,,0
"55-uv",2,True,Infinity,0,Infinity,,0
"55 near Gimhae",2,True,Infinity,0,Infinity,,0
"10-a",2,True,Infinity,0,Infinity,,0
"10-b",2,True,Infinity,0,Infinity,,0
"10-c",2,True,Infinity,0,Infinity,,0
"Andong-55",2,True,Infinity,692800,Infinity,,0
"35 east of Andong",2,True,Infinity,549270.4,Infinity,,0
"35ab",2,True,Infinity,549270.4,Infinity,,0
"35bc",2,True,Infinity,0,Infinity,,0
"35cd",2,True,Infinity,0,Infinity,,0
"55-Gyeongbuk",2,True,Infinity,0,Infinity,,0
"35-Gyeongbuk",2,True,Infinity,0,Infinity,,0
"20 west Pohang",2,True,Infinity,0,Infinity,,0
"20-bc",2,True,Infinity,0,Infinity,,0
"20-35",2,True,Infinity,0,Infinity,,0
"20-daegu",2,True,Infinity,0,Infinity,,0
"Pohang north",2,True,Infinity,0,Infinity,,0
"Ulsan-1",2,True,Infinity,0,Infinity,,0
"55-1",2,True,Infinity,0,Infinity,,0
"1-ab",2,True,Infinity,0,Infinity,,0
"1-bc",2,True,Infinity,0,Infinity,,0
"1-cd",2,True,Infinity,0,Infinity,,0
"1-de",2,True,Infinity,0,Infinity,,0
"1-ef",2,True,Infinity,0,Infinity,,0
"Yangsan-55",2,True,Infinity,0,Infinity,,0
"Pohang Northwest",2,True,Infinity,0,Infinity,,0
"Busan-Yangsan",2,True,Infinity,0,Infinity,,0
"Ulsan-Busan",2,True,Infinity,0,Infinity,,0
"Ulsan-Busan sea",2,True,Infinity,0,Infinity,,0
"Ulsan sea appraoch",2,True,Infinity,0,Infinity,,0
"Sea base",2,True,Infinity,0,Infinity,,0
"sea base to sea lane",2,True,Infinity,0,Infinity,,0
