TransportDeliveryID,RequestID,Day,SupplyingLogNode,TransportType,TransportConfiguration,DeliveredAmount,DeliveredWeight,FuelTypeExpended,FuelAmountExpended,ConvoyProtectionFuelExpended,Distance,Sorties,TransportTimeSpent,SortieDurationPer,Scripted
-406,-587,2,"ANDONG SUPPLY DEPOT","Htruck","Default",44115,42350.4,"FUEL",211.62353885312,0,35.2705898088534,3,6.79547478599261,2.26515826199754,False
-407,-591,3,"ANDONG SUPPLY DEPOT","Mtruck","Default",190000,152000,"FUEL",1125.59782204232,0,59.2419906338064,19,49.8539027432343,2.62388961806496,False
-408,-591,3,"ANDONG SUPPLY DEPOT","Htruck","Default",115000,92000,"FUEL",829.38786887329,0,59.2419906338064,7,21.3128686715712,3.04469552451017,False
-409,-592,3,"ANDONG SUPPLY DEPOT","Htruck","Default",305000,244000,"FUEL",1997.0023665407,0,58.7353637217854,17,50.8985581662372,2.99403283330807,False
-410,-593,3,"ANDONG SUPPLY DEPOT","Htruck","Default",236900,189520,"FUEL",1267.19986570774,0,48.7384563733744,13,35.2479210251958,2.71137854039968,False
-411,-594,3,"SEA BASE","CH-53K","Default",9800,7840,"FUEL",440.990111629436,0,55.1237639536795,3,1.20270030444392,0.400900101481306,False
-412,-595,3,"SEA BASE","CH-53K","Default",14880,11904,"FUEL",649.828643424363,0,60.921435321034,4,1.7722599366119,0.443064984152975,False
-413,-596,3,"ANDONG SUPPLY DEPOT","Htruck","Default",84320,67456,"FUEL",500.972664668203,0,50.0972664668203,5,14.2362977487213,2.84725954974426,False
-414,-597,3,"ANDONG SUPPLY DEPOT","Htruck","Default",54400,54400,"FUEL",592.419906338064,0,59.2419906338064,5,15.2234776225509,3.04469552451017,False
-415,-598,3,"ANDONG SUPPLY DEPOT","Htruck","Default",54400,54400,"FUEL",587.353637217854,0,58.7353637217854,5,14.9701641665404,2.99403283330807,False
-416,-599,3,"ANDONG SUPPLY DEPOT","Htruck","Default",86200,86200,"FUEL",779.815301973991,0,48.7384563733744,8,21.6910283231974,2.71137854039968,False
-417,-600,3,"ANDONG SUPPLY DEPOT","Htruck","Default",50000,48000,"FUEL",355.451943802839,0,59.2419906338064,3,9.13408657353052,3.04469552451017,False
-418,-602,3,"SEA BASE","CH-53K","Default",8160,8160,"FUEL",162.457160856091,0,60.921435321034,1,0.443064984152975,0.443064984152975,False
-419,-603,3,"ANDONG SUPPLY DEPOT","Htruck","Default",46240,46240,"FUEL",500.972664668203,0,50.0972664668203,5,14.2362977487213,2.84725954974426,False
