TransportDeliveryID,ArcID
-465,"35cd"
-466,"Andong-55"
-466,"55-bc"
-466,"55-cd"
-466,"55-de"
-466,"55-ef"
-466,"55fg"
-466,"55-gh"
-466,"55-hj"
-467,"Andong-55"
-467,"55-bc"
-467,"55-cd"
-467,"55-de"
-467,"55-ef"
-467,"55fg"
-467,"55-gh"
-467,"55-hj"
-468,"35 east of Andong"
-468,"35ab"
-468,"35bc"
-468,"35cd"
-469,"Andong-55"
-469,"55-bc"
-469,"55-cd"
-469,"55-de"
-469,"55-ef"
-469,"55fg"
-469,"55-gh"
-469,"55-hj"
-470,"20 west Pohang"
-470,"20-bc"
-471,"20 west Pohang"
-471,"20-bc"
-472,"35 east of Andong"
-472,"35ab"
-472,"35bc"
-472,"35cd"
-473,"Andong-55"
-473,"55-bc"
-473,"55-cd"
-473,"55-de"
-473,"55-ef"
-473,"55fg"
-473,"55-gh"
-473,"55-hj"
-475,"20 west Pohang"
-475,"20-bc"
-477,"20 west Pohang"
-477,"20-bc"
-481,"Andong-55"
-481,"55-bc"
-481,"55-cd"
-481,"55-de"
-481,"55-ef"
-481,"55fg"
-481,"55-gh"
-481,"55-hj"
-481,"55-jk"
-482,"Andong-55"
-482,"55-bc"
-482,"55-cd"
-482,"55-de"
-482,"55-ef"
-482,"55fg"
-482,"55-gh"
-482,"55-hj"
-482,"55-jk"
-482,"55-kl"
-483,"Andong-55"
-483,"55-bc"
-483,"55-cd"
-483,"55-de"
-483,"55-ef"
-483,"55fg"
-483,"55-gh"
-483,"55-hj"
-483,"55-jk"
-483,"55-kl"
-484,"35 east of Andong"
-484,"35ab"
-484,"35bc"
-484,"35cd"
-485,"20 west Pohang"
-485,"20-bc"
-485,"20-35"
-486,"20 west Pohang"
-486,"20-bc"
-486,"20-35"
-486,"Yeongchon north"
-487,"35 east of Andong"
-487,"35ab"
-487,"35bc"
-487,"35cd"
-488,"Andong-55"
-488,"55-bc"
-488,"55-cd"
-488,"55-de"
-488,"55-ef"
-488,"55fg"
-488,"55-gh"
-488,"55-hj"
-488,"55-jk"
-489,"Andong-55"
-489,"55-bc"
-489,"55-cd"
-489,"55-de"
-489,"55-ef"
-489,"55fg"
-489,"55-gh"
-489,"55-hj"
-489,"55-jk"
-489,"55-kl"
-490,"35 east of Andong"
-490,"35ab"
-490,"35bc"
-490,"35cd"
-491,"Andong-55"
-491,"55-bc"
-491,"55-cd"
-491,"55-de"
-491,"55-ef"
-491,"55fg"
-491,"55-gh"
-491,"55-hj"
-491,"55-jk"
-492,"20 west Pohang"
-492,"20-bc"
-492,"20-35"
-493,"20 west Pohang"
-493,"20-bc"
-493,"20-35"
-493,"Yeongchon north"
-494,"35 east of Andong"
-494,"35ab"
-494,"35bc"
-494,"35cd"
-497,"20 west Pohang"
-497,"20-bc"
-497,"20-35"
-497,"Yeongchon north"
-498,"20 west Pohang"
-498,"20-bc"
-498,"20-35"
-499,"20 west Pohang"
-499,"20-bc"
-499,"20-35"
-502,"Andong-55"
-502,"55-bc"
-502,"55-cd"
-502,"55-de"
-502,"55-ef"
-502,"55fg"
-502,"55-gh"
-502,"55-hj"
-502,"55-jk"
-502,"55-kl"
-503,"Andong-55"
-503,"55-bc"
-503,"55-cd"
-503,"55-de"
-503,"55-ef"
-503,"55fg"
-503,"55-gh"
-503,"55-hj"
-503,"55-jk"
-503,"55-kl"
-503,"55-lm"
-504,"Andong-55"
-504,"55-bc"
-504,"55-cd"
-504,"55-de"
-504,"55-ef"
-504,"55fg"
-504,"55-gh"
-504,"55-hj"
-504,"55-jk"
-504,"55-kl"
-504,"55-lm"
-505,"35 east of Andong"
-505,"35ab"
-505,"35bc"
-505,"35cd"
-505,"Yeongchon north"
-506,"20 west Pohang"
-506,"20-bc"
-506,"20-35"
-507,"20 west Pohang"
-507,"20-bc"
-507,"20-35"
-507,"Yeongchon north"
-508,"35 east of Andong"
-508,"35ab"
-508,"35bc"
-508,"35cd"
-509,"Andong-55"
-509,"55-bc"
-509,"55-cd"
-509,"55-de"
-509,"55-ef"
-509,"55fg"
-509,"55-gh"
-509,"55-hj"
-509,"55-jk"
-509,"55-kl"
-510,"Andong-55"
-510,"55-bc"
-510,"55-cd"
-510,"55-de"
-510,"55-ef"
-510,"55fg"
-510,"55-gh"
-510,"55-hj"
-510,"55-jk"
-510,"55-kl"
-510,"55-lm"
-511,"35 east of Andong"
-511,"35ab"
-511,"35bc"
-511,"35cd"
-511,"Yeongchon north"
-512,"Andong-55"
-512,"55-bc"
-512,"55-cd"
-512,"55-de"
-512,"55-ef"
-512,"55fg"
-512,"55-gh"
-512,"55-hj"
-512,"55-jk"
-512,"55-kl"
-513,"20 west Pohang"
-513,"20-bc"
-513,"20-35"
-514,"20 west Pohang"
-514,"20-bc"
-514,"20-35"
-514,"Yeongchon north"
-515,"35 east of Andong"
-515,"35ab"
-515,"35bc"
-515,"35cd"
-515,"Yeongchon north"
-517,"35 east of Andong"
-517,"35ab"
-517,"35bc"
-517,"35cd"
-518,"20 west Pohang"
-518,"20-bc"
-518,"20-35"
-518,"Yeongchon north"
-519,"20 west Pohang"
-519,"20-bc"
-519,"20-35"
-522,"20-daegu"
-522,"55 east of Daegu"
-523,"20-daegu"
-523,"55 east of Daegu"
-524,"20-daegu"
-524,"55 east of Daegu"
-525,"Yeongchon north"
-525,"Yeongchon south"
-525,"1-bc"
-526,"20 west Pohang"
-526,"20-bc"
-526,"20-35"
-526,"Yeongchon north"
-526,"Yeongchon south"
-526,"1-ab"
-527,"20 west Pohang"
-527,"20-bc"
-527,"20-35"
-528,"Yeongchon north"
-528,"Yeongchon south"
-529,"20-daegu"
-529,"55 east of Daegu"
-530,"20-daegu"
-530,"55 east of Daegu"
-531,"Yeongchon north"
-531,"Yeongchon south"
-531,"1-bc"
-532,"20 west Pohang"
-532,"20-bc"
-532,"20-35"
-533,"20 west Pohang"
-533,"20-bc"
-533,"20-35"
-533,"Yeongchon north"
-533,"Yeongchon south"
-533,"1-ab"
-534,"20-daegu"
-534,"55 east of Daegu"
-535,"Yeongchon north"
-535,"Yeongchon south"
-535,"1-bc"
-536,"Andong-55"
-536,"55-bc"
-536,"55-cd"
-536,"55-de"
-536,"55-ef"
-536,"55fg"
-536,"55-gh"
-536,"55-hj"
-536,"55-jk"
-536,"55-kl"
-536,"55-lm"
-536,"55 west of Daegu"
-536,"55 east of Daegu"
-537,"Andong-55"
-537,"55-bc"
-537,"55-cd"
-537,"55-de"
-537,"55-ef"
-537,"55fg"
-537,"55-gh"
-537,"55-hj"
-537,"55-jk"
-537,"55-kl"
-537,"55-lm"
-537,"55 west of Daegu"
-537,"55 east of Daegu"
-538,"Yeongchon north"
-538,"Yeongchon south"
-539,"20 west Pohang"
-539,"20-bc"
-539,"20-35"
-539,"Yeongchon north"
-539,"Yeongchon south"
-539,"1-ab"
-540,"20 west Pohang"
-540,"20-bc"
