TransportDeliveryID,ArcID
-691,"1-ef"
-691,"Yangsan-55"
-691,"55-uv"
-692,"35 east of Andong"
-692,"35ab"
-692,"35bc"
-692,"35cd"
-693,"35 east of Andong"
-693,"35ab"
-693,"35bc"
-693,"35cd"
-694,"35 east of Andong"
-694,"35ab"
-694,"35bc"
-694,"35cd"
-696,"55-qr"
-696,"55-rs"
-696,"55-st"
-696,"55-tu"
-696,"55-uv"
-697,"Yeongchon north"
-697,"Yeongchon south"
-697,"1-bc"
-697,"1-cd"
-697,"1-de"
-697,"1-ef"
-697,"Yangsan-55"
-698,"Yeongchon north"
-698,"Yeongchon south"
-698,"1-bc"
-698,"1-cd"
-698,"1-de"
-698,"1-ef"
-698,"Yangsan-55"
-699,"55-qr"
-699,"55-rs"
-699,"55-st"
-699,"55-tu"
-699,"55-uv"
-699,"Yangsan-55"
-700,"55-qr"
-700,"55-rs"
-700,"55-st"
-700,"55-tu"
-700,"55-uv"
-700,"Yangsan-55"
-701,"Yeongchon north"
-701,"Yeongchon south"
-701,"1-bc"
-701,"1-cd"
-701,"1-de"
-701,"1-ef"
-702,"Yeongchon north"
-702,"Yeongchon south"
-702,"1-bc"
-702,"1-cd"
-702,"1-de"
-702,"1-ef"
-702,"Yangsan-55"
-703,"Yeongchon north"
-703,"Yeongchon south"
-703,"1-bc"
-703,"1-cd"
-703,"1-de"
-703,"1-ef"
-703,"Yangsan-55"
-704,"Yeongchon north"
-704,"Yeongchon south"
-704,"1-bc"
-704,"1-cd"
-704,"1-de"
-704,"1-ef"
-707,"Andong-55"
-707,"55-bc"
-707,"55-cd"
-707,"55-de"
-707,"55-ef"
-707,"55fg"
-707,"55-gh"
-707,"55-hj"
-707,"55-jk"
-707,"55-kl"
-707,"55-lm"
-707,"55 west of Daegu"
-707,"55 east of Daegu"
-707,"55-no"
-707,"55-op"
-707,"55-pq"
-707,"55-qr"
-707,"55-rs"
-707,"55-st"
-707,"55-tu"
-707,"55-uv"
-708,"Andong-55"
-708,"55-bc"
-708,"55-cd"
-708,"55-de"
-708,"55-ef"
-708,"55fg"
-708,"55-gh"
-708,"55-hj"
-708,"55-jk"
-708,"55-kl"
-708,"55-lm"
-708,"55 west of Daegu"
-708,"55 east of Daegu"
-708,"55-no"
-708,"55-op"
-708,"55-pq"
-708,"55-qr"
-708,"55-rs"
-708,"55-st"
-708,"55-tu"
-708,"55-uv"
-709,"20-daegu"
-709,"55 east of Daegu"
-709,"55-no"
-709,"55-op"
-709,"55-pq"
-711,"35 east of Andong"
-711,"35ab"
-711,"35bc"
-711,"35cd"
-712,"35 east of Andong"
-712,"35ab"
-712,"35bc"
-712,"35cd"
-713,"35 east of Andong"
-713,"35ab"
-713,"35bc"
-713,"35cd"
-715,"55-qr"
-715,"55-rs"
-715,"55-st"
-715,"55-tu"
-715,"55-uv"
-715,"55 near Gimhae"
-716,"55-qr"
-716,"55-rs"
-716,"55-st"
-716,"55-tu"
-716,"55-uv"
-716,"55 near Gimhae"
-717,"Yeongchon north"
-717,"Yeongchon south"
-717,"1-bc"
-717,"1-cd"
-717,"1-de"
-717,"1-ef"
-717,"Yangsan-55"
-717,"55 near Gimhae"
-718,"Yeongchon north"
-718,"Yeongchon south"
-718,"1-bc"
-718,"1-cd"
-718,"1-de"
-718,"1-ef"
-718,"Yangsan-55"
-718,"55 near Gimhae"
-719,"55-qr"
-719,"55-rs"
-719,"55-st"
-719,"55-tu"
-719,"55-uv"
-719,"Yangsan-55"
-720,"55-qr"
-720,"55-rs"
-720,"55-st"
-720,"55-tu"
-720,"55-uv"
-720,"Yangsan-55"
-721,"55-qr"
-721,"55-rs"
-721,"55-st"
-721,"55-tu"
-721,"55-uv"
-721,"55 near Gimhae"
-722,"55-qr"
-722,"55-rs"
-722,"55-st"
-722,"55-tu"
-722,"55-uv"
-722,"55 near Gimhae"
-723,"55-qr"
-723,"55-rs"
-723,"55-st"
-723,"55-tu"
-723,"55-uv"
-723,"Yangsan-55"
-724,"55-qr"
-724,"55-rs"
-724,"55-st"
-724,"55-tu"
-724,"55-uv"
-724,"55 near Gimhae"
-725,"Andong-55"
-725,"55-bc"
-725,"55-cd"
-725,"55-de"
-725,"55-ef"
-725,"55fg"
-725,"55-gh"
-725,"55-hj"
-725,"55-jk"
-725,"55-kl"
-725,"55-lm"
-725,"55 west of Daegu"
-725,"55 east of Daegu"
-725,"55-no"
-725,"55-op"
-725,"55-pq"
-725,"55-qr"
-725,"55-rs"
-725,"55-st"
-725,"55-tu"
-725,"55-uv"
-725,"55 near Gimhae"
-726,"Andong-55"
-726,"55-bc"
-726,"55-cd"
-726,"55-de"
-726,"55-ef"
-726,"55fg"
-726,"55-gh"
-726,"55-hj"
-726,"55-jk"
-726,"55-kl"
-726,"55-lm"
-726,"55 west of Daegu"
-726,"55 east of Daegu"
-726,"55-no"
-726,"55-op"
-726,"55-pq"
-726,"55-qr"
-726,"55-rs"
-726,"55-st"
-726,"55-tu"
-726,"55-uv"
-726,"55 near Gimhae"
-727,"55-qr"
-727,"55-rs"
-727,"55-st"
-727,"55-tu"
-727,"55-uv"
-727,"Yangsan-55"
-728,"Yeongchon north"
-728,"Yeongchon south"
-728,"1-bc"
-728,"1-cd"
-728,"1-de"
-728,"1-ef"
-729,"55-qr"
-729,"55-rs"
-729,"55-st"
-729,"55-tu"
-729,"55-uv"
-729,"Yangsan-55"
-730,"Yeongchon north"
-730,"Yeongchon south"
-730,"1-bc"
-730,"1-cd"
-730,"1-de"
-730,"1-ef"
-731,"Yeongchon north"
-731,"Yeongchon south"
-731,"1-bc"
-731,"1-cd"
-731,"1-de"
-731,"1-ef"
-732,"20-daegu"
-732,"55 east of Daegu"
-732,"55-no"
-732,"55-op"
-732,"55-pq"
-734,"35 east of Andong"
-734,"35ab"
-734,"35bc"
-734,"35cd"
-735,"35 east of Andong"
-735,"35ab"
-735,"35bc"
-735,"35cd"
-736,"35 east of Andong"
-736,"35ab"
-736,"35bc"
-736,"35cd"
-738,"55-qr"
-738,"55-rs"
-738,"55-st"
-738,"55-tu"
-738,"55-uv"
-738,"55 near Gimhae"
-739,"55-qr"
-739,"55-rs"
-739,"55-st"
-739,"55-tu"
-739,"55-uv"
-739,"55 near Gimhae"
-740,"Yeongchon north"
-740,"Yeongchon south"
-740,"1-bc"
-740,"1-cd"
-740,"1-de"
-740,"1-ef"
-740,"Yangsan-55"
-740,"55 near Gimhae"
-741,"Yeongchon north"
-741,"Yeongchon south"
-741,"1-bc"
-741,"1-cd"
-741,"1-de"
-741,"1-ef"
-741,"Yangsan-55"
-741,"55 near Gimhae"
-742,"55-qr"
-742,"55-rs"
-742,"55-st"
-742,"55-tu"
-742,"55-uv"
-742,"55 near Gimhae"
-742,"10-a"
-743,"55-qr"
-743,"55-rs"
-743,"55-st"
-743,"55-tu"
-743,"55-uv"
-743,"55 near Gimhae"
-743,"10-a"
-744,"55-qr"
-744,"55-rs"
-744,"55-st"
-744,"55-tu"
-744,"55-uv"
-744,"55 near Gimhae"
-745,"55-qr"
-745,"55-rs"
-745,"55-st"
-745,"55-tu"
-745,"55-uv"
-745,"55 near Gimhae"
-749,"Andong-55"
-749,"55-bc"
-749,"55-cd"
-749,"55-de"
-749,"55-ef"
-749,"55fg"
-749,"55-gh"
-749,"55-hj"
-749,"55-jk"
-749,"55-kl"
-749,"55-lm"
-749,"55 west of Daegu"
-749,"55 east of Daegu"
-749,"55-no"
-749,"55-op"
-749,"55-pq"
-749,"55-qr"
-749,"55-rs"
-749,"55-st"
-749,"55-tu"
-749,"55-uv"
-749,"55 near Gimhae"
-750,"Andong-55"
-750,"55-bc"
-750,"55-cd"
-750,"55-de"
-750,"55-ef"
-750,"55fg"
-750,"55-gh"
-750,"55-hj"
-750,"55-jk"
-750,"55-kl"
-750,"55-lm"
-750,"55 west of Daegu"
-750,"55 east of Daegu"
-750,"55-no"
-750,"55-op"
-750,"55-pq"
-750,"55-qr"
-750,"55-rs"
-750,"55-st"
-750,"55-tu"
-750,"55-uv"
-750,"55 near Gimhae"
-751,"20-daegu"
-751,"55 east of Daegu"
-751,"55-no"
-751,"55-op"
-751,"55-pq"
-753,"Yeongchon north"
-753,"Yeongchon south"
-753,"1-bc"
-753,"1-cd"
-753,"1-de"
-753,"1-ef"
-753,"Yangsan-55"
-753,"55-uv"
-753,"55-tu"
-753,"55-st"
-753,"55-rs"
-753,"55-qr"
-754,"Yeongchon north"
-754,"Yeongchon south"
-754,"1-bc"
-754,"1-cd"
-754,"1-de"
-754,"1-ef"
-754,"Yangsan-55"
-754,"55-uv"
-754,"55-tu"
-754,"55-st"
-754,"55-rs"
-754,"55-qr"
-755,"35 east of Andong"
-755,"35ab"
-755,"35bc"
-755,"35cd"
-756,"35 east of Andong"
-756,"35ab"
-756,"35bc"
-756,"35cd"
-757,"35 east of Andong"
-757,"35ab"
-757,"35bc"
-757,"35cd"
-758,"35 east of Andong"
-758,"35ab"
-758,"35bc"
-758,"35cd"
