RequestID,Day,Pipeline,SupplyingLogNode,DeliveredAmount,FuelTypeExpended,FuelAmountExpended,Distance
-686,6,"JLOTS","SEA BASE",250000,"FUEL",5000,20.0129257371493
-713,7,"JLOTS","SEA BASE",241795.492025883,"FUEL",4835.90984051766,20.0129257371493
-740,8,"JLOTS","SEA BASE",164509.395973745,"FUEL",3290.18791947489,20.0129257371493
-767,9,"JLOTS","SEA BASE",164215.177961506,"FUEL",3284.30355923013,20.0129257371493
-797,10,"JLOTS","SEA BASE",164713.516639072,"FUEL",3294.27033278145,20.0129257371493
-886,13,"JLOTS","SEA BASE",163994.308406666,"FUEL",3279.88616813332,20.0129257371493
-945,15,"JLOTS","SEA BASE",38.3305412628528,"FUEL",0.766610825257056,20.0129257371493
