Name,Description,{SupplyType,Posture,Priority}
"SYSTEM GENERATED","","WATER","OPERATE",50,"WATER","MOVE",50,"DRY_BULK","OPERATE",45,"DRY_BULK","MOVE",45,"JP-5","OPERATE",100,"JP-5","MOVE",100,"AMMO","OPERATE",99
"HIGHPRI","","WATER","OPERATE",50,"WATER","MOVE",50,"DRY_BULK","OPERATE",45,"DRY_BULK","MOVE",45,"JP-5","OPERATE",100,"JP-5","MOVE",100,"AMMO","OPERATE",99
"LOWPRI","","WATER","OPERATE",25,"WATER","MOVE",25,"DRY_BULK","OPERATE",20,"DRY_BULK","MOVE",20,"JP-5","OPERATE",75,"JP-5","MOVE",75,"AMMO","OPERATE",99
"Log","","WATER","SYSTEM GENERATED",1,"WATER","OPERATE",1,"WATER","MOVE",1,"JP-5","SYSTEM GENERATED",2,"JP-5","OPERATE",2,"JP-5","MOVE",2,"AMMO","OPERATE",1
